width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
6	0.506233	-0.98212653887186507	15187	30000	6.816661	continue
7	0.128467	-2.9605302806091109	3854	30000	10.435671	continue
8	0.027167	-5.2020009294811214	815	30000	13.186604	continue
9	0.006033	-7.372908702297666	181	30000	12.968906	continue
10	0.001033	-9.9189440304591159	31	30000	13.238346	stop
