width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
4	0.423550	-1.2393958053909753	42355	100000	0.376154	continue
5	0.081200	-3.6223764623642731	8120	100000	0.464837	continue
6	0.012880	-6.2787235963221946	1288	100000	0.485894	continue
7	0.001920	-9.0246779737156562	192	100000	0.490566	stop
