width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
4	0.821810	-0.28312320918267758	82181	100000	0.254078	continue
5	0.314120	-1.6706122926735585	31412	100000	0.412651	continue
6	0.080110	-3.641873846642298	8011	100000	0.485341	continue
7	0.018500	-5.7563309190331378	1850	100000	0.496070	continue
8	0.004330	-7.8514172597100877	433	100000	0.512487	continue
9	0.000930	-10.070481663328781	93	100000	0.522124	stop
