width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
5	0.397370	-1.3314451364541817	39737	100000	0.391955	continue
6	0.113280	-3.1420349243538146	11328	100000	0.469244	continue
7	0.029120	-5.1018458342381159	2912	100000	0.480275	continue
8	0.007380	-7.0821634683764163	738	100000	0.529281	continue
9	0.001650	-9.2433182601909962	165	100000	0.522367	stop
