width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
5	0.606010	-0.72258649453670054	60601	100000	0.331528	continue
6	0.228520	-2.1296076598528635	22852	100000	0.443073	continue
7	0.070030	-3.8358831022970126	7003	100000	0.494945	continue
8	0.020540	-5.6054200081186174	2054	100000	0.502044	continue
9	0.005620	-7.4752141542158856	562	100000	0.523027	continue
10	0.001630	-9.2609123202057351	163	100000	0.529149	stop
