width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
5	0.724710	-0.46452429322253591	72471	100000	0.289606	continue
6	0.322920	-1.6307512980752381	32292	100000	0.424942	continue
7	0.111520	-3.1646256285683889	11152	100000	0.485829	continue
8	0.036580	-4.7728011146880949	3658	100000	0.497277	continue
9	0.010990	-6.5076648034875815	1099	100000	0.534125	stop
