width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
4	0.752360	-0.41050494636604151	75236	100000	0.281247	continue
5	0.248520	-2.0085661354951436	24852	100000	0.429434	continue
6	0.058810	-4.0877946992748804	5881	100000	0.480856	continue
7	0.011820	-6.4026261542592788	1182	100000	0.491706	continue
8	0.002590	-8.5928321867502575	259	100000	0.516610	continue
9	0.000490	-10.994930630321603	49	100000	0.518567	stop
