width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
5	0.591920	-0.75652589099652467	59192	100000	1.427777	continue
6	0.161670	-2.6288761023259086	16167	100000	1.888700	continue
7	0.033500	-4.899695094204314	3350	100000	2.065553	continue
8	0.006640	-7.2346010430898868	664	100000	2.076511	continue
9	0.001270	-9.6209557876646468	127	100000	2.034302	stop
