ratio	seed_width	chosen_width	measured_failure_rate	measured_log2_failure_rate	fit_slope	fit_intercept	extrapolated_w_at_log2_-40	source_summary
1.10	50	56	0.110000	-3.184425	-0.2752680802903929	12.2305874962620038	189.744439	tuning/okvs_width/nn10_ratio1.10_260404_104502/autosweep_summary.txt
1.20	29	33	0.060000	-4.058894	-0.4933980913776877	12.2232430154636944	105.844031	tuning/okvs_width/nn10_ratio1.20_260404_105309/autosweep_summary.txt
1.30	22	24	0.110000	-3.184425	-0.69558537985194646	13.5096241164467123	76.927471	tuning/okvs_width/nn10_ratio1.30_260404_105331/autosweep_summary.txt
1.40	18	19	0.090000	-3.473931	-0.79290007579251931	11.5911704400578657	65.066421	tuning/okvs_width/nn10_ratio1.40_260404_105525/autosweep_summary.txt
1.50	16	18	0.070000	-3.836501	-0.91680875590922206	12.6660566063659967	57.444976	tuning/okvs_width/nn10_ratio1.50_260404_105606/autosweep_summary.txt
1.60	14	15	0.080000	-3.643856	-1.1159548656531917	13.0954669847978771	47.578508	tuning/okvs_width/nn10_ratio1.60_260404_105638/autosweep_summary.txt
1.70	13	14	0.090000	-3.473931	-1.3036062641920034	14.7765566986880472	42.019249	tuning/okvs_width/nn10_ratio1.70_260404_105707/autosweep_summary.txt
1.80	12	13	0.070000	-3.836501	-1.3341468562062244	13.5074081306809166	40.106086	tuning/okvs_width/nn10_ratio1.80_260404_105730/autosweep_summary.txt
1.90	11	12	0.100000	-3.321928	-1.5228330837142925	14.9520690045715092	36.085418	tuning/okvs_width/nn10_ratio1.90_260404_105752/autosweep_summary.txt
2.00	11	11	0.100000	-3.321928	-1.7285138719215973	15.6917245911375716	32.219426	tuning/okvs_width/20260404_035545_nn10_ratio2.00/autosweep_summary.txt
2.10	10	11	0.070000	-3.836501	-1.9032429649806697	17.0991716147873660	30.000989	tuning/okvs_width/20260404_035612_nn10_ratio2.10/autosweep_summary.txt
2.20	9	10	0.060000	-4.058894	-1.9763874791496254	15.7049807914962543	28.185253	tuning/okvs_width/20260404_035640_nn10_ratio2.20/autosweep_summary.txt
2.30	9	10	0.030000	-5.058894	-1.9883904069780263	14.8250100697802658	27.572558	tuning/okvs_width/20260404_035704_nn10_ratio2.30/autosweep_summary.txt
2.40	9	9	0.100000	-3.321928	-2.1425645151007866	15.9611526359070801	26.118771	tuning/okvs_width/20260404_035730_nn10_ratio2.40/autosweep_summary.txt
2.50	8	9	0.070000	-3.836501	-2.1844982842362106	15.8239835581258941	25.554602	tuning/okvs_width/20260404_035756_nn10_ratio2.50/autosweep_summary.txt
2.60	8	9	0.060000	-4.058894	-2.2886449833581604	16.5389108502234450	24.704098	tuning/okvs_width/20260404_035818_nn10_ratio2.60/autosweep_summary.txt
2.70	8	9	0.030000	-5.058894	-2.3702935378275085	16.2737478404475766	23.741257	tuning/okvs_width/20260404_035840_nn10_ratio2.70/autosweep_summary.txt
2.80	8	8	0.120000	-3.058894	-2.5022747860267511	16.9593042882140104	22.763009	tuning/okvs_width/20260404_035903_nn10_ratio2.80/autosweep_summary.txt
2.90	8	8	0.060000	-4.058894	-2.6012193638931991	16.7508609111455939	21.817022	tuning/okvs_width/20260404_035925_nn10_ratio2.90/autosweep_summary.txt
3.00	8	8	0.020000	-5.643856	-2.6760470322936611	15.7645202583492896	20.838393	tuning/okvs_width/20260404_035943_nn10_ratio3.00/autosweep_summary.txt
