ratio	seed_width	chosen_width	measured_failure_rate	measured_log2_failure_rate	fit_slope	fit_intercept	extrapolated_w_at_log2_-40	source_summary
1.10	50	62	0.070000	-3.836501	-0.2752680802903929	13.2301199780043586	193.375563	tuning/okvs_width/nn10_ratio1.10_260404_104502/autosweep_summary.txt
1.20	29	36	0.080000	-3.643856	-0.4933980913776877	14.1184752895967591	109.685214	tuning/okvs_width/nn10_ratio1.20_260404_105309/autosweep_summary.txt
1.30	22	28	0.100000	-3.321928	-0.69558537985194646	16.1544626358545003	80.729791	tuning/okvs_width/nn10_ratio1.30_260404_105331/autosweep_summary.txt
1.40	18	22	0.040000	-4.643856	-0.79290007579251931	12.7999456674354235	66.590920	tuning/okvs_width/nn10_ratio1.40_260404_105525/autosweep_summary.txt
1.50	16	19	0.050000	-4.321928	-0.91680875590922206	13.0974383622752200	57.915501	tuning/okvs_width/nn10_ratio1.50_260404_105606/autosweep_summary.txt
1.60	14	17	0.070000	-3.836501	-1.1159548656531917	15.1347317161042572	49.405880	tuning/okvs_width/nn10_ratio1.60_260404_105638/autosweep_summary.txt
1.70	13	15	0.090000	-3.473931	-1.3036062641920034	16.0801629628800526	43.019249	tuning/okvs_width/nn10_ratio1.70_260404_105707/autosweep_summary.txt
1.80	12	14	0.100000	-3.321928	-1.3341468562062244	15.3561279868871416	41.491780	tuning/okvs_width/nn10_ratio1.80_260404_105730/autosweep_summary.txt
1.90	11	13	0.120000	-3.058894	-1.5228330837142925	16.7379360882858030	37.258145	tuning/okvs_width/nn10_ratio1.90_260404_105752/autosweep_summary.txt
2.00	11	13	0.040000	-4.643856	-1.7285138719215973	17.8268243349807669	33.454649	tuning/okvs_width/20260404_035545_nn10_ratio2.00/autosweep_summary.txt
2.10	10	12	0.070000	-3.836501	-1.9032429649806697	19.0024145797680362	31.000989	tuning/okvs_width/20260404_035612_nn10_ratio2.10/autosweep_summary.txt
2.20	9	11	0.110000	-3.184425	-1.9763874791496254	18.5558372706458776	29.627711	tuning/okvs_width/20260404_035640_nn10_ratio2.20/autosweep_summary.txt
2.30	9	11	0.070000	-3.836501	-1.9883904069780263	18.0357934767582861	29.187323	tuning/okvs_width/20260404_035704_nn10_ratio2.30/autosweep_summary.txt
2.40	9	11	0.040000	-4.643856	-2.1425645151007866	18.9243536661086544	27.501787	tuning/okvs_width/20260404_035730_nn10_ratio2.40/autosweep_summary.txt
2.50	8	10	0.080000	-3.643856	-2.1844982842362106	18.2011268423621075	26.642789	tuning/okvs_width/20260404_035756_nn10_ratio2.50/autosweep_summary.txt
2.60	8	10	0.070000	-3.836501	-2.2886449833581604	19.0499488335816025	25.801271	tuning/okvs_width/20260404_035818_nn10_ratio2.60/autosweep_summary.txt
2.70	8	9	0.120000	-3.058894	-2.3702935378275085	18.2737478404475766	24.585034	tuning/okvs_width/20260404_035840_nn10_ratio2.70/autosweep_summary.txt
2.80	8	9	0.100000	-3.321928	-2.5022747860267511	19.1985450742407622	23.657891	tuning/okvs_width/20260404_035903_nn10_ratio2.80/autosweep_summary.txt
2.90	8	9	0.050000	-4.321928	-2.6012193638931991	19.0890462750387933	22.715903	tuning/okvs_width/20260404_035925_nn10_ratio2.90/autosweep_summary.txt
3.00	8	9	0.030000	-5.058894	-2.6760470322936611	19.0255292906429503	22.056985	tuning/okvs_width/20260404_035943_nn10_ratio3.00/autosweep_summary.txt
