ratio	seed_width	chosen_width	measured_failure_rate	measured_log2_failure_rate	fit_slope	fit_intercept	extrapolated_w_at_log2_-40	source_summary
1.10	50	72	0.070000	-3.836501	-0.2752680802903929	15.9828007809082902	203.375563	tuning/okvs_width/nn10_ratio1.10_260404_104502/autosweep_summary.txt
1.20	29	41	0.080000	-3.643856	-0.4933980913776877	16.5854657464851947	114.685214	tuning/okvs_width/nn10_ratio1.20_260404_105309/autosweep_summary.txt
1.30	28	30	0.100000	-3.321928	-0.69558537985194646	17.5456333955583936	82.729791	tuning/okvs_width/nn10_ratio1.30_260404_105331/autosweep_summary.txt
1.40	22	25	0.070000	-3.836501	-0.79290007579251931	15.9860008948129835	70.609151	tuning/okvs_width/nn10_ratio1.40_260404_105525/autosweep_summary.txt
1.50	19	21	0.080000	-3.643856	-0.91680875590922206	15.6091278740936623	60.655101	tuning/okvs_width/nn10_ratio1.50_260404_105606/autosweep_summary.txt
1.60	17	18	0.100000	-3.321928	-1.1159548656531917	16.7652595817574515	50.866985	tuning/okvs_width/nn10_ratio1.60_260404_105638/autosweep_summary.txt
1.70	15	17	0.090000	-3.473931	-1.3036062641920034	18.6873754912640564	45.019249	tuning/okvs_width/nn10_ratio1.70_260404_105707/autosweep_summary.txt
1.80	14	15	0.120000	-3.058894	-1.3341468562062244	16.9533088430933674	42.688935	tuning/okvs_width/nn10_ratio1.80_260404_105730/autosweep_summary.txt
1.90	13	15	0.030000	-5.058894	-1.5228330837142925	17.7836022557143885	37.944804	tuning/okvs_width/nn10_ratio1.90_260404_105752/autosweep_summary.txt
2.00	11	13	0.110000	-3.184425	-1.7285138719215973	19.2862553349807655	34.298976	tuning/okvs_width/20260404_035545_nn10_ratio2.00/autosweep_summary.txt
2.10	10	13	0.030000	-5.058894	-1.9032429649806697	19.6832645447487060	31.358721	tuning/okvs_width/20260404_035612_nn10_ratio2.10/autosweep_summary.txt
2.20	9	12	0.080000	-3.643856	-1.9763874791496254	20.0727937497955047	30.395251	tuning/okvs_width/20260404_035640_nn10_ratio2.20/autosweep_summary.txt
2.30	9	12	0.020000	-5.643856	-1.9883904069780263	18.2168288837363157	29.278369	tuning/okvs_width/20260404_035704_nn10_ratio2.30/autosweep_summary.txt
2.40	9	11	0.080000	-3.643856	-2.1425645151007866	19.9243536661086544	27.968518	tuning/okvs_width/20260404_035730_nn10_ratio2.40/autosweep_summary.txt
2.50	8	11	0.080000	-3.643856	-2.1844982842362106	20.3856251265983168	27.642789	tuning/okvs_width/20260404_035756_nn10_ratio2.50/autosweep_summary.txt
2.60	8	10	0.120000	-3.058894	-2.2886449833581604	19.8275558335816058	26.141038	tuning/okvs_width/20260404_035818_nn10_ratio2.60/autosweep_summary.txt
2.70	8	10	0.110000	-3.184425	-2.3702935378275085	20.5185103782750851	25.532074	tuning/okvs_width/20260404_035840_nn10_ratio2.70/autosweep_summary.txt
2.80	8	10	0.050000	-4.321928	-2.5022747860267511	20.7008198602675115	24.258255	tuning/okvs_width/20260404_035903_nn10_ratio2.80/autosweep_summary.txt
2.90	8	10	0.040000	-4.643856	-2.6012193638931991	21.3683376389319903	23.592142	tuning/okvs_width/20260404_035925_nn10_ratio2.90/autosweep_summary.txt
3.00	8	9	0.120000	-3.058894	-2.6760470322936611	21.0255292906429503	22.804356	tuning/okvs_width/20260404_035943_nn10_ratio3.00/autosweep_summary.txt
