width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
4	0.680920	-0.55444278619918752	68092	100000	0.307208	continue
5	0.197240	-2.3419759369356927	19724	100000	0.456679	continue
6	0.041440	-4.5928321867502584	4144	100000	0.470025	continue
7	0.008810	-6.8266422655163979	881	100000	0.492376	continue
8	0.001660	-9.2346010430898868	166	100000	0.509300	stop
