width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
7	0.873280	-0.19548379516267128	87328	100000	0.256283	continue
8	0.647430	-0.62720387755087637	64743	100000	0.363310	continue
9	0.414950	-1.2689905875792711	41495	100000	0.445974	continue
10	0.237580	-2.0735147028365444	23758	100000	0.523704	continue
11	0.132330	-2.9177879286234383	13233	100000	0.568321	continue
12	0.072470	-3.7864722954520706	7247	100000	0.580641	continue
13	0.038380	-4.7035014782414315	3838	100000	0.636986	continue
14	0.020630	-5.599112368550327	2063	100000	0.620638	stop
