width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
10	0.527750	-0.92207342131493097	52775	100000	0.536741	continue
11	0.355660	-1.491429366893628	35566	100000	0.575219	continue
12	0.228040	-2.1326411883037504	22804	100000	0.668954	continue
13	0.143530	-2.8005757807897003	14353	100000	0.752361	continue
14	0.088130	-3.5042229846601911	8813	100000	0.742292	continue
15	0.053910	-4.2133032802057144	5391	100000	0.781451	continue
16	0.032840	-4.928402062659007	3284	100000	0.780480	continue
17	0.019650	-5.6693268772908434	1965	100000	0.662124	continue
18	0.011270	-6.4713686742645908	1127	100000	0.688586	stop
