width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
5	0.495730	-1.0123735261303821	49573	100000	0.359864	continue
6	0.160020	-2.6436758641647295	16002	100000	0.462944	continue
7	0.044230	-4.498830947538158	4423	100000	0.480401	continue
8	0.011070	-6.4972009676552593	1107	100000	0.492448	continue
9	0.003180	-8.2967575191524574	318	100000	0.524532	continue
10	0.000670	-10.543551283979038	67	100000	0.514237	stop
