width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
4	0.546180	-0.87255160837313583	54618	100000	0.350563	continue
5	0.125190	-2.9978087684522605	12519	100000	0.471002	continue
6	0.023360	-5.4198159155567946	2336	100000	0.498705	continue
7	0.003970	-7.9766452772938541	397	100000	0.484951	continue
8	0.000830	-10.234601043089887	83	100000	0.504008	stop
