width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
15	0.267210	-1.9039540950078442	26721	100000	0.628233	continue
16	0.193110	-2.3725052202059449	19311	100000	0.691009	continue
17	0.137200	-2.8656476133766371	13720	100000	0.684956	continue
18	0.096160	-3.3784192937256261	9616	100000	0.845956	continue
19	0.068730	-3.8629162304109808	6873	100000	0.949147	continue
20	0.048940	-4.3528420883574217	4894	100000	0.943660	continue
21	0.034920	-4.8398026308073714	3492	100000	1.019729	continue
22	0.024420	-5.3557929894494087	2442	100000	1.049967	stop
