bandWidth	bandExpansion	wrap	comm_mb	elapsed_ms	recv_ctxt_ms	decode_send_ms	okvs_enc_ms	enc_send_ms	recv_back_ms	decrypt_ms
190	1.10	7	58.729	7879	2168.1	7382.0	1617.8	2130.2	7388.4	7428.0
106	1.20	4	44.390	4965	1369.2	4480.5	992.6	1315.8	4488.8	4521.6
77	1.30	3	39.638	3921	1100.7	3443.2	759.4	1023.6	3451.6	3485.0
65	1.40	3	38.235	3543	989.4	3062.4	667.6	914.5	3072.1	3106.9
57	1.50	3	38.768	3506	945.8	3016.1	636.6	878.5	3023.2	3060.0
48	1.60	2	36.646	3004	867.6	2529.6	596.4	819.3	2531.1	2567.3
42	1.70	2	37.061	2865	813.2	2396.7	542.8	754.1	2403.1	2441.6
40	1.80	2	37.004	2765	773.2	2307.5	525.8	738.2	2312.7	2351.8
36	1.90	2	36.580	2626	763.0	2160.3	512.3	726.9	2163.9	2200.8
32	2.00	2	36.640	2504	714.8	2029.0	489.5	705.1	2031.8	2058.7
30	2.10	2	38.211	2575	739.4	2077.8	490.2	708.1	2079.6	2122.6
28	2.20	2	37.671	2447	728.5	1959.4	499.6	715.4	1967.1	2004.1
28	2.30	2	38.460	2448	716.7	1960.8	468.2	694.4	1968.2	2007.4
26	2.40	2	39.127	2388	703.4	1910.5	469.4	698.3	1911.9	1953.4
26	2.50	2	40.645	2512	696.9	2015.7	453.5	686.5	2022.1	2060.5
25	2.60	2	40.710	2470	719.1	1963.9	464.1	707.7	1967.9	2009.1
24	2.70	2	40.593	2340	717.4	1882.0	458.1	708.7	1883.2	1923.4
23	2.80	2	40.718	2266	713.6	1813.9	451.2	702.5	1818.4	1845.9
22	2.90	2	42.289	2368	713.9	1880.8	451.3	703.5	1887.1	1929.3
21	3.00	2	42.415	2348	717.9	1851.7	449.9	707.8	1856.9	1898.7
