bandWidth	bandExpansion	wrap	comm_mb	elapsed_ms	recv_ctxt_ms	decode_send_ms	okvs_enc_ms	enc_send_ms	recv_back_ms	decrypt_ms
190	1.10	3	122.570	27346	8029.9	25862.3	7305.4	8019.3	25865.3	25973.6
106	1.20	2	109.510	17241	4970.7	15767.2	3953.7	4541.0	15771.5	15862.8
77	1.30	2	106.812	14205	4225.5	12737.7	3156.4	3705.2	12740.3	12817.1
65	1.40	2	107.479	12728	3819.6	11240.0	2749.8	3305.7	11244.3	11356.4
57	1.50	2	109.193	12004	3631.2	10532.8	2574.1	3138.1	10537.0	10630.4
48	1.60	2	109.688	10860	3346.6	9420.4	2367.1	2937.6	9422.7	9517.1
42	1.70	2	110.976	11654	3183.7	9833.3	2184.7	2767.4	9834.4	9920.0
40	1.80	2	112.999	14229	4185.7	12219.7	3211.7	4174.0	12221.1	12338.6
36	1.90	2	117.583	13018	4589.8	11014.8	3058.6	4071.3	11018.7	11157.5
32	2.00	2	119.054	14888	4242.0	12792.5	3031.5	4087.2	12795.5	12920.6
30	2.10	2	120.350	12251	4212.7	10639.5	2956.3	4025.1	10642.6	10741.2
28	2.20	2	123.836	9857	3059.8	7992.2	2028.3	2722.2	7993.0	8125.3
28	2.30	2	126.715	11169	3983.2	9225.8	2668.3	3973.8	9227.4	9319.2
26	2.40	2	129.960	12148	4050.1	10025.0	2635.6	3889.8	10030.2	10174.7
26	2.50	2	132.412	11918	4228.9	10003.8	2659.1	3902.5	10004.6	10155.8
25	2.60	2	133.885	14064	4180.9	11909.9	2707.7	3983.8	11914.0	12090.0
24	2.70	2	138.531	11044	4179.9	9354.4	2440.8	3766.2	9359.3	9479.5
23	2.80	2	140.741	12393	3071.1	10484.6	1862.9	2724.8	10490.0	10671.2
22	2.90	2	142.709	13302	3575.5	11231.0	2228.2	3193.5	11236.2	11419.6
21	3.00	2	147.169	12234	4244.2	10054.6	2444.0	3908.9	10055.3	10216.0
