bandWidth	bandExpansion	wrap	comm_mb	elapsed_ms	recv_ctxt_ms	decode_send_ms	okvs_enc_ms	enc_send_ms	recv_back_ms	decrypt_ms
203	1.10	2	371.232	88298	33029.4	81582.6	30544.1	32499.0	81587.9	81875.8
115	1.20	2	365.550	60857	23802.1	53979.5	16511.8	18030.5	53983.0	54272.3
83	1.30	2	373.880	51003	20085.2	44275.4	12972.6	14542.6	44280.7	44577.5
71	1.40	2	383.464	48051	19086.1	41246.6	11696.5	13344.8	41247.4	41549.2
61	1.50	2	390.410	44883	18086.4	38096.2	10659.9	12382.7	38099.9	38404.1
51	1.60	2	397.541	42024	17540.3	35198.7	10144.6	11985.0	35200.8	35496.0
45	1.70	2	409.751	40209	16771.4	33495.3	9538.1	11446.0	33500.8	33805.6
43	1.80	2	420.959	40075	16923.5	33384.2	9411.2	11454.8	33385.7	33697.0
38	1.90	2	429.092	38540	16486.2	31791.2	8987.0	11112.1	31796.4	32106.0
34	2.00	2	444.444	38688	16952.9	31959.2	8699.8	10907.9	31960.7	32278.2
31	2.10	2	453.133	37300	16344.1	30548.5	8367.9	10677.9	30553.6	30876.8
30	2.20	2	463.531	37714	16564.8	30904.7	8285.6	10675.3	30907.5	31224.4
29	2.30	2	473.421	37318	16583.3	30557.6	8126.1	10638.0	30561.6	30885.5
28	2.40	2	487.826	38324	17213.8	31571.6	8232.1	10851.2	31573.1	31904.1
28	2.50	2	495.890	37610	16799.7	30777.4	8112.7	10824.5	30780.2	31106.7
26	2.60	2	510.803	38417	17617.7	31619.7	8005.2	10859.0	31624.3	31968.5
26	2.70	2	523.887	38986	17987.4	32238.3	8057.4	11012.3	32243.4	32586.7
24	2.80	2	529.571	37631	17375.1	30785.6	7936.8	11002.2	30789.8	31132.2
24	2.90	2	541.656	38650	17834.6	31915.3	7931.8	11091.9	31917.2	32243.2
23	3.00	2	556.055	38439	17861.9	31652.2	7988.7	11231.0	31657.2	32008.8
